number_1_word|one
number_2_word|two
number_3_word|three
number_4_word|four
number_5_word|five
number_6_word|six
number_7_word|seven
number_8_word|eight
number_9_word|nine
number_11_word|eleven
number_12_word|twelve
number_13_word|thirteen
number_14_word|fourteen
number_15_word|fifteen
number_16_word|sixteen
number_17_word|seventeen
number_18_word|eighteen
number_19_word|nineteen
number_10_word|ten
number_20_word|twenty
number_30_word|thirty
number_40_word|forty
number_50_word|fifty
number_60_word|sixty
number_70_word|seventy
number_80_word|eighty
number_90_word|ninety
number_21_word|twenty one
number_22_word|twenty two
number_23_word|twenty three
number_24_word|twenty four
number_25_word|twenty five
number_26_word|twenty six
number_27_word|twenty seven
number_28_word|twenty eight
number_29_word|twenty nine
number_31_word|thirty one
number_32_word|thirty two
number_33_word|thirty three
number_34_word|thirty four
number_35_word|thirty five
number_36_word|thirty six
number_37_word|thirty seven
number_38_word|thirty eight
number_39_word|thirty nine
number_41_word|forty one
number_42_word|forty two
number_43_word|forty three
number_44_word|forty four
number_45_word|forty five
number_46_word|forty six
number_47_word|forty seven
number_48_word|forty eight
number_49_word|forty nine
number_51_word|fifty one
number_52_word|fifty two
number_53_word|fifty three
number_54_word|fifty four
number_55_word|fifty five
number_56_word|fifty six
number_57_word|fifty seven
number_58_word|fifty eight
number_59_word|fifty nine
number_61_word|sixty one
number_62_word|sixty two
number_63_word|sixty three
number_64_word|sixty four
number_65_word|sixty five
number_66_word|sixty six
number_67_word|sixty seven
number_68_word|sixty eight
number_69_word|sixty nine
number_71_word|seventy one
number_72_word|seventy two
number_73_word|seventy three
number_74_word|seventy four
number_75_word|seventy five
number_76_word|seventy six
number_77_word|seventy seven
number_78_word|seventy eight
number_79_word|seventy nine
number_81_word|eighty one
number_82_word|eighty two
number_83_word|eighty three
number_84_word|eighty four
number_85_word|eighty five
number_86_word|eighty six
number_87_word|eighty seven
number_88_word|eighty eight
number_89_word|eighty nine
number_91_word|ninety one
number_92_word|ninety two
number_93_word|ninety three
number_94_word|ninety four
number_95_word|ninety five
number_96_word|ninety six
number_97_word|ninety seven
number_98_word|ninety eight
number_99_word|ninety nine
number_100_word|one hundred
number_200_word|two hundred
number_300_word|three hundred
number_400_word|four hundred
number_500_word|five hundred
number_600_word|six hundred
number_700_word|seven hundred
number_800_word|eight hundred
number_900_word|nine hundred
number_1000_word|one thousand
number_2000_word|two thousand
number_3000_word|three thousand
number_4000_word|four thousand
number_5000_word|five thousand
number_6000_word|six thousand
number_7000_word|seven thousand
number_8000_word|eight thousand
number_9000_word|nine thousand
number_1000000_word|one million
number_2000000_word|two million
number_3000000_word|three million
number_4000000_word|four million
number_5000000_word|five million
number_6000000_word|six million
number_7000000_word|seven million
number_8000000_word|eight million
number_9000000_word|nine million
number_1000000000_word|one billion
number_2000000000_word|two billion
number_3000000000_word|three billion
number_4000000000_word|four billion
number_5000000000_word|five billion
number_6000000000_word|six billion
number_7000000000_word|seven billion
number_8000000000_word|eight billion
number_9000000000_word|nine billion
number_1000000000000_word|one trillion
number_2000000000000_word|two trillion
number_3000000000000_word|three trillion
number_4000000000000_word|four trillion
number_5000000000000_word|five trillion
number_6000000000000_word|six trillion
number_7000000000000_word|seven trillion
number_8000000000000_word|eight trillion
number_9000000000000_word|nine trillion
number_1000000000000000_word|one quadrillion
number_2000000000000000_word|two quadrillion
number_3000000000000000_word|three quadrillion
number_4000000000000000_word|four quadrillion
number_5000000000000000_word|five quadrillion
number_6000000000000000_word|six quadrillion
number_7000000000000000_word|seven quadrillion
number_8000000000000000_word|eight quadrillion
number_9000000000000000_word|nine quadrillion
number_1000000000000000000_word|one quintillion
number_2000000000000000000_word|two quintillion
number_3000000000000000000_word|three quintillion
number_4000000000000000000_word|four quintillion
number_5000000000000000000_word|five quintillion
number_6000000000000000000_word|six quintillion
number_7000000000000000000_word|seven quintillion
number_8000000000000000000_word|eight quintillion
number_9000000000000000000_word|nine quintillion
number_1000000000000000000000_word|one sextillion
number_2000000000000000000000_word|two sextillion
number_3000000000000000000000_word|three sextillion
number_4000000000000000000000_word|four sextillion
number_5000000000000000000000_word|five sextillion
number_6000000000000000000000_word|six sextillion
number_7000000000000000000000_word|seven sextillion
number_8000000000000000000000_word|eight sextillion
number_9000000000000000000000_word|nine sextillion
number_1000000000000000000000000_word|one septillion
number_2000000000000000000000000_word|two septillion
number_3000000000000000000000000_word|three septillion
number_4000000000000000000000000_word|four septillion
number_5000000000000000000000000_word|five septillion
number_6000000000000000000000000_word|six septillion
number_7000000000000000000000000_word|seven septillion
number_8000000000000000000000000_word|eight septillion
number_9000000000000000000000000_word|nine septillion
number_1000000000000000000000000000_word|one octillion
number_2000000000000000000000000000_word|two octillion
number_3000000000000000000000000000_word|three octillion
number_4000000000000000000000000000_word|four octillion
number_5000000000000000000000000000_word|five octillion
number_6000000000000000000000000000_word|six octillion
number_7000000000000000000000000000_word|seven octillion
number_8000000000000000000000000000_word|eight octillion
number_9000000000000000000000000000_word|nine octillion
number_1000000000000000000000000000000_word|one nonillion
number_2000000000000000000000000000000_word|two nonillion
number_3000000000000000000000000000000_word|three nonillion
number_4000000000000000000000000000000_word|four nonillion
number_5000000000000000000000000000000_word|five nonillion
number_6000000000000000000000000000000_word|six nonillion
number_7000000000000000000000000000000_word|seven nonillion
number_8000000000000000000000000000000_word|eight nonillion
number_9000000000000000000000000000000_word|nine nonillion
